itemid,text
95,- Longest night ever.. ugh! http://tumblr.com. xwp1yxhi6
96,my momacita wo n't let me go to my bf 's ball game!!! grrr!!!
97,Mom says I have to get a new phone IMMEDIATELY.... off to T-Mobile. she paying....
98,My new car was stolen.... by my mother who wanted to go pose at church.
99,"no hang out with the girls 2 day. 2 more, hope so......"
100,no movie times for sunday! Rats will have to plan tomorrow. I guess this means I have to work on those two presentations I am doing!
101,no panel tonight &lt;Tigersfan &gt;
102,not a cool night.
103,oh thank you!
104,pleased
105,probably gun a get off soon since no one is talking no more
106,really wanted Safina to pull out a win &amp; to lose like that...
107,"RIP, David Eddings."
108,Rose and pod will be back in the Xmas Who special! YAY! Damn that 's half a year away.
109,- sannesias: As no neighbor! We need to watch Mean Girls:] http://tumblr.com. xv31s2pi8
110,so what the status on next weekend
111,sorry @gigi4462 The Ex Husband has overdosed on his daily dose of haterade
112,Thanks for your definition of throwbie! Editors reviewed your entry and have decided to not publish it.
113,"Thanks, I need all the help i can get."
114,- that explains a lot.
115,There 's going to be a Heathers sequel. Winona4 ever! They better not fuck it up.
116,"told not to drink w/my Rx so just gave all the b.b. porter &amp; jobs. stout that I brought home from OR to my neighbors. v, v, sad."
117,true is so sweet! He just bought me a new bathing suit!! Wove him
118,"True, highly subjective of me there. Timber was actually my favorite character in the book. You got me - http://is.gd. 13be0 - Risha"
119,u guys know why
120,very much so
121,wash now I 'm getting sad.... miss hub:- ' (&quot; &quot; &quot; &quot; &quot; &quot; &quot; &quot;
122,- - we were standing out in the pouring rain.. We were sitting on top of the world.. - - summer sucks - -
123,"Went to get dog from vets, theyve stitched her ear, charged us for it but she still bleeds like a waterfall everytime she moves. D: WHY!"
124,where is my picture i feel naked
125,Why are n't there any trains going to manchester on a sunday?!! Now I ca n't go to the @jonasbrothers concert.
126,- Why must people be so picky. I mean 6 hours work and no dice!? what??? s up with that! http://tumblr.com/xsg1m3ufn
127,Why Twitter will soon become obsolete? http://www.imediaconnection.com/content/23465.asp
128,wide awake NOT!!!
129,yeah me too. Its been awful weather here for the last week so that stinks. Kristie coming down and mow said maybe he take us for...
130,- You: hi Stranger: HELLO I AM FRANK LAMPARD HOW ARE YOU You: fine You: and itself Stranger: i am gay Your... http://tumblr.com/xaj24dkly
131,you 'll always be my one and only... [12 * 23 * 2007]
132,#3 turnoffwords this shit sucks
133,#asylm J2 panel is over. Guess it 's back to normal life.
134,#poemsunder140.... started by @shannonelyse1
135,#squarespace brighten my bad day! i never win anything...
136,"#Susan Boyle did n't win! m well, diversity was very good though! CONGRATZ!!"
137,#twenty20
138,"&lt; --- That is all, and believe me.. it 's enough!"
139,&lt;3 good times
140,&lt;3 GrAdUaTE 09&lt;3
141,"&quot; Vandals paint swastikas on home of author of gay, lesbian church story: Naples Daily News&quot; (http://bit.ly/11zyzl)"
142,&quot;An unknown error occurred (- 4) &quot;. oh oh. iPhone OS 3 fail so far
143,&quot;experts (homers) predict Eagles to go 12-4 and Giants to go 9-7 a BS! http://www.dailysportspages.com/forums/showthread.php?t =49343
144,&quot;I know you hungry so lets go outside on the balcony so you can eat&quot;....
145,&quot;I want you so bad it 's driving me mad&quot;
146,&quot;The 10 Men a UK Female Internet Entrepreneur Should Know when Starting and Growing a Business: The Next Women&quot; (http://tinyurl.com...
147,&quot;The truth is hiding in your eyes&quot; @patita @MissMarian Paramore??? Decode @Daninho502? http://blip.fm/~5ytke
148,&quot;Try to turn on my to to get you out of my head. I 've got this feeling inside that I just wo n't admit... &quot; (that is literally how I feel)
149,"&quot;well, the truth is I miss you so&quot; - Coldplay"
150,(tears): ' - (Today is the last day with my kids... They go on summer break at their Dads tomorrow. * sighs * http://plurk.com/p. x8j86
151,(unsure) (annoyed) http://plurk.com/p/1230lz
152,(via @designrelated) are designed gallery exhibition postcards/mailers going extinct? via NYT http://ow.ly/fHJc
153,* BeautifulyLost
154,- * cries * I 'm going to miss Harry Potter when it comes out. I 'm leaving to Vietnam on July 11th. I 'm going to cry!!
155,- - * humming * I SAY &quot;shut up &amp; put your money where your mouth is&quot;... heading out to reality. Cheers Twitter world!
156,- -. * sigh * You ca n't love someone that does n't love you back that 's like stalker status. GET a divorce &amp; &amp; move on. Trinity.
157,". ._. going back to bed, because I 'm lolookinground and do n't see a reason to be awake atarm Be up in a little."
158,"- -. Aiqht Goodnight. Tri, Neena, Malcolm, Chaise, Jew, ATL &lt;333 Love Much."
159,- -. Triiiiiii. early. even if Chaise does n't. =D * dies of laughter *
160,.. i want him so bad!!
161,".. watching to, bed, shopping w. mm, out w. trend hopefully, i need my best friend"
162,. .. had weird encounters with so many homeless. creeps on the walk home tonight all by myself awesome... really...
163,. .. Rained out truck race
164,. .. Why am I feeling worse??? F!!!
165,.... Feeling pain and happiness at the same time. How confusing!
166,..... hot cocoa is the best!
167,.... in a shirt and panties. cellulite
168,..had to turn back to North due to body on line. So missing Design Council Design 4 Tech Transfer event http://bit.ly/pXrzV...
169,..y everything is so hard? : A
170,.bueno good bye. good night
171,: Beach day with Scoones. = (: Still no phone.
172,": Let 's have fun,. When I give ya what I give ya."
173,: [I do n't want to move!!!
174,":-D))))))))... WHAT AN AMAZING NIGHT, DAY &amp; NIGHT AGAIN!! HI TWITS! I MSS U GUYS"
175,@ canaveral national seashore
176,@ progressing in the production department with &quot;The Uprizing&quot; that the priority getting the head nodding beats and then we reach out
177,@ taylorrhicks enjoy chicago.. b new venue is always cool. You shine everywhere you go. I know who you are. In time so will everyone.
178,@ the train crash in DC.....
179,' @ Thestreetforce '
180,@3sixty5 days makes me smile.
181,"@adamisacson My first day off in 3 weeks, and my child got up before 7:00. So watch for me on &quot;Nancy Gras.. http://tr.im/khKW"
182,"@adbert: &quot; #Video [Woody Woodpecker??? The Barber of Seville] I am great, @klitoria, just wishing to be a chi... ??? http://blip.fm/ ~7g6r0"
183,@alexrauchman I am happy you are staying around here. Drexel is a fabulous university. You should be proud. yeah.
184,@alvinkschneider what happened to angels and demons and lions and tigers and bears!?
185,@AmericanWomannn Well that sure minimizes the impact... LOL
186,"@ange_black @sween I call dibs on the Valtron arm. No the leg. Wait. Where are my manners? @baileygenine,.. http://tr.im/oERy"
187,@CharlottegC I just saw our mum
188,@chloelunn and @meganmcdowell GET YOUR FAT ASSES ON HERE. NAI.
189,"- @codinghorror See, three external monitors on one laptop, http://www.twitpic.com/6e3zp Win7RC 1 x 1920x1080, 2 x 1280x1024"
190,@copicmarker&quot; facebook.com. copic.marker if you 're cool. Or if you 're not cool. Maybe I 'll send some cool.. http://tr.im. oyT7
191,' @crewislife you want to start the morning later; in New York we can do that (Californians have it even better)
192,@cybervenus http://twitpic.com/75kwb ~ LOL Lu IT! &gt; &gt; http://twitpic.com/75hsg Did any1 find or c 1? # a.. http://bit.ly/mUMFh
193,@dandelionas is making fettuccine and garlic bread!
194,@danregal tell @pfont i said Happy Day!!
195,"- @Darcy_Lussier @lkrammes I went to work once last year with no pants. Ironically, that was my last day of work at that job. FML"
196,"@DirtyRose17 told you, you would sweep hats:-p"
197,@dreamingspires. there r many gr8 science cartoons http://bit.ly/6EW4Q http://bit.ly/gXH3q http://bit.ly/18sjXI http://bit.ly. KEAy2
198,- @Em91 Edinburgh fringe is only 10 weeks away?! I need monies But I 'm Elliott from @angryfeet - blame @howlieT for the Twitter intrusion
199,"@emilymariie why did n't you come to school?? have you done the short stack thing by yourself, or do you still need me?"
200,"- @EvertB which one? http://bit.ly/10o8LW, http://bit.ly/Nh82S or http://bit.ly/wr8Vz - later for the US Store only #iphone #comics"
201,@georgediaz #Magic.. thinking less than 50 % chance Hedo stays in Orlando. He 's Gonna go for the $$. They all do. Ca n't blame him though.
202,@Glamicole.. now who wed make this beautiful old cry?
203,@HaterMagazine: @damienrandle it is now the outer fat kid.
204,"- @haugern The servers are now backup, if you experience any more problems then please let me know Sorry about the delay..."
205,"@hawaiibuzz: &quot;yes, i am ill j a k luck this! @DJDolceVita: &quot;you are like a gentle breeze that has blown through... ??? http://blip.fm/~7s7mn"
206,"@hellopnsdear see MORREA a my Joseph, no no see vale."
207,@hidingesther @linininiooh are my future rooooooooomies! NYC holler
208,@Hijack_King7 I hope u have cheese burger 4 @Snubbmatic LMBO
209,@iamyas awesome
210,@ivegotzooms I am nothing of the kind and everything of the sort http://tr.im/mLsn
211,- @jerrybattiste &quot;.. pick up some flowers for the teacher.. &quot; I 'm jealous! I want flowers without having to be in the hospital to get them!
212,- @joaoqalves Think again Galvez sea do?? infuse an cigar. Mas aten???? o: &quot;Security is a chain; it 's as strong as the weakest link? ??
213,@jonasbrothers Why is your You Tube account suspended? look Single Ladies dance? I NEED TO WATCH IT AGAIN!
214,- @JuicyJones I know.. SOLD OUT though.
215,- @kaitymarine - watch E3 @MCMudkips - Will do
216,- @katherineholden Thanks K! Here 's hoping! Pretty nervous though...
217,@katiedontcry should get on aim and talk to me. i miss her.
218,@kcome?????????????????????????????????? ???????????? 1000 Followers???????????? http://tr.im/mWKn
219,"@khead I 'll tell ya, grocery store. It was better when you blasted the olds. Sugar Ray does not make me.. http://tr.im/jd0y"
220,@kvetchingeditor 's kashrut convoy makes me want to keep more kosher but my rooms catholic &amp; he has a pork loin in the fridge #kosherFAIL
221,@Leloz is n't home neither is @sozi1... @althani96 U BETTER HAVE IT!!!
222,"@LHSOPERAFIENDS tall bitches better wake up early to go to the LA Opera, lay!?"
223,"- @littlecharva - I 'm immune to dentists ' drills etc now, it just does n't bother me at all. Having gum lift surgery next week to * week *"
224,@lolife4 life where r u finite in still awake!
225,@lorinimus hates Bebout App
226,"@masareus&quot; @dhempe congrats hey, but like the olds in &gt; used to say - are Thai much jam ca http://tr.im/ox5G"
227,@MelodyChase
228,@mgph3 non chilling on twitter via my spanking new blackberry w a unlimited internet: http://tr.im/mZVC
229,@michaelsarver so do you give him every inch of your love every night?
230,@mimbles @WParenthetical
231,' @minghao Maybe you can pop @StarHubCares a tweet. They are quite active on twitter.
232,"@MsNovember It 's a shame all the women in Mamma Mia are so horny, since all the men on this island are so.. http://tr.im/kmET"
233,- @nibaq Thanks for letting me know. I 'm going to check out Eureka later with this knowledge
234,@Oneshine What are u referring to?
235,@plmusic22
236,"- @PoisonGirl10 What 's up? @sevgli Hey you! @lowridergrl I 'm doing ok, tax. You? @cristinerafae You, too! TTYL! @Nic0pic0 Oh, soy! look"
237,@RAPPUBLICIST HAPPY MOTHERS DAY!
238,"- @raybooysen I knew Sharepoint was written by interns, I just knew it!!"
239,I miss her so much already...
240,just practising..... how I feel
241,Miss my love Jamie
242,FUCK YOU!
243,my head feels like a bowling ball
244,my heart hurts badly...
245,FS keeps crashing when I try to load Bengie plane.
246,My current headset is on its deathbed now! My dad gave it to me just 3 weeks back!
247,.... My mood is currently BLAH. Sitting in a parking lot
248,I am happy
249,. .. that is all.
250,everyone went home. and not everyone was even here! ~CMF &lt;3
251,fed up....
252,"fuck, fuck, fuck!"
253,"Not feeling it today And to make matters worst its super nasty and rainy outside, YUCK!"
254,@Beansummer
255,"Awwwwwh i wanted Aiden Davis 2 WIN, i &lt;3 him so bummed he did not"
256,bed time now....
257,Fulham 4 digs para o World Drawing day
258,"Friends like these... no thanks, I 'm not fake! ^ ^"
259,hats song. stay in steely &amp; mowing the lawn... loviie still here &amp; &amp; going tanning soon.
260,i think my bf is cheating on me!!!!
261,i wanna play with my camera but i will settle for playing with ivy 's and heart monitors
262,i want an actor drive
263,"I want to display my pretty voltren! Upside, I get two pretty voltrons!"
264,i want to find a way to put my photos on phone here i have Bluetooth in both phone and computer but it does n't work
265,IN an effort to bring you the best content we just added at lease 30 hours to the release of The digital Rapture. soon... hang tight
266,--- is our response to what happened today. and that is all.
267,"J, you are right... it hurts."
268,"kind a but not really, but kind a"
269,"let 's have a moment of silence for our childhood homes... sadly, it ca n't be replaced and we can never go back"
270,lock all these #robotpickuplines are hilarious
271,"man, oh man (i should punch myself in the head, but in ok with that)"
272,"my friends can get with our friends and we can all b friends, shit, we could do this every weekend.. Alight? with coop n the crew"
273,"No man is worth your tears, and the one that is wo n't make you cry!"
274,rain rain go away!
275,storms are scary!
276,such a beautiful satisfying day of bargain shopping. loves it.
277,Tell those girls your clocking out ok
278,thank god today is friday!!! I love Ti Ti! &lt;3
279,the bat to my internet connection died. Guess its back to the mobile!
280,thrilled about being at work this morning
281,we break dance not hearts by Short Stack is my ring tone.... i LOVE that song!!!... ..
282,www.apple.com. phone now has it for the 18th
283,#squarespace #trackle no apple phone card for us maybe tomorrow! I guess it helps if you tweet it huh? We forgot
284,(unsure) (hassle) (: (music) http://plurk.com/p/yq08l
285,exhausted
286,i want some ben&amp;jerrys cake batter please ugh
287,my life is very lazzzzyyyy!!!!!!! ***********
288,"wish Vella was on or somebody,,,,"
289,fish in a good mood..... talk to me
290,i think i 'm going to go 3 a long drive then when i get to the pacific ocean open my car door and throw my pick in the ocean
291,what the hell BBC?
292,#canucks
293,I do n't like this weekend.. Huhuhu ((
294,I 'll get on it right away!
295,- J + A MADE NICE..... TWiCE! for now;]
296,loves life arm! its brilliant XD
297,who else is in a happy mood?? =D
298,!BYE EVERYONE!
299,. .. lonely night
300,blue does not work
